sexo;nacionalidad;comuna;provincia;region;carrera;escuela;facultad;campus
Femenino;CHILENA;CALERA DE TANGO;MAIPO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;RANCAGUA;CACHAPOAL;REGION DEL LIB. GRAL. BERNARDO OHIGGINS;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;MAIPU;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;ANDACOLLO;ELQUI;REGION DE COQUIMBO;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;HUECHURABA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;RANCAGUA;CACHAPOAL;REGION DEL LIB. GRAL. BERNARDO OHIGGINS;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;COLINA;CHACABUCO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;LA PINTANA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;SAN JOAQUIN;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;EL BOSQUE;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;MAIPU;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;PEÑALOLEN;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;QUILICURA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;SAN BERNARDO;MAIPO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;RENCA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;EXTRANJERA;PUDAHUEL;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;LA FLORIDA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;MELIPILLA;MELIPILLA;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;LA CISTERNA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;SAN RAMON;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;TALAGANTE;TALAGANTE;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;RANCAGUA;CACHAPOAL;REGION DEL LIB. GRAL. BERNARDO OHIGGINS;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;SAN JOAQUIN;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;MAIPU;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;LA FLORIDA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;PUDAHUEL;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;PEÑALOLEN;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;PEDRO AGUIRRE CERDA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;PUENTE ALTO;CORDILLERA;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;CERRO NAVIA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;EXTRANJERA;QUINTA NORMAL;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;PUDAHUEL;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;SAN BERNARDO;MAIPO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;LO PRADO;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;CARTAGENA;SAN ANTONIO;REGION DE VALPARAISO;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;PEDRO AGUIRRE CERDA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;RENCA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;RENGO;CACHAPOAL;REGION DEL LIB. GRAL. BERNARDO OHIGGINS;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;LA PINTANA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;LOS ANDES;LOS ANDES;REGION DE VALPARAISO;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;PUENTE ALTO;CORDILLERA;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;CONCHALI;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;EXTRANJERA;INDEPENDENCIA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;LA FLORIDA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;TOLTEN;CAUTIN;REGION DE LA ARAUCANIA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;COLINA;CHACABUCO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;CURACAVI;MELIPILLA;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;MAIPU;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;CERRILLOS;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;ÑUÑOA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;PICHILEMU;CARDENAL CARO;REGION DEL LIB. GRAL. BERNARDO OHIGGINS;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;RENCA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;LA FLORIDA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;SAN FERNANDO;COLCHAGUA;REGION DEL LIB. GRAL. BERNARDO OHIGGINS;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;RENCA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;EXTRANJERA;QUINTA NORMAL;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;LA SERENA;ELQUI;REGION DE COQUIMBO;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;MAIPU;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;SAN MIGUEL;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;SAN JOAQUIN;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;LO PRADO;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;INDEPENDENCIA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;CERRO NAVIA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;RECOLETA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;SAN BERNARDO;MAIPO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;LO ESPEJO;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;LA PINTANA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;EL QUISCO;SAN ANTONIO;REGION DE VALPARAISO;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;QUINTA NORMAL;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;CURICO;CURICO;REGION DEL MAULE;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;SAN BERNARDO;MAIPO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;PUENTE ALTO;CORDILLERA;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;EXTRANJERA;ÑUÑOA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;PEÑALOLEN;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;SAN RAMON;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;LAS CONDES;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;ALGARROBO;SAN ANTONIO;REGION DE VALPARAISO;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Femenino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;BUIN;MAIPO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;MELIPILLA;MELIPILLA;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Femenino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Femenino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Femenino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;MAIPU;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;ALGARROBO;SAN ANTONIO;REGION DE VALPARAISO;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;EL BOSQUE;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;PUENTE ALTO;CORDILLERA;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Femenino;CHILENA;ALGARROBO;SAN ANTONIO;REGION DE VALPARAISO;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Femenino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;PUENTE ALTO;CORDILLERA;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Femenino;CHILENA;ALGARROBO;SAN ANTONIO;REGION DE VALPARAISO;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;MAIPU;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;LA FLORIDA;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;ALGARROBO;SAN ANTONIO;REGION DE VALPARAISO;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SAN BERNARDO;MAIPO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;TALAGANTE;TALAGANTE;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SAN BERNARDO;MAIPO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;LA PINTANA;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;CERRILLOS;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;COLINA;CHACABUCO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;PELARCO;TALCA;REGION DEL MAULE;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Masculino;CHILENA;SANTIAGO;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
Femenino;CHILENA;LA PINTANA;SANTIAGO;REGION METROPOLITANA;INGENIERIA EN CONSTRUCCION;ESCUELA DE CONSTRUCCIÓN CIVIL;FACULTAD DE CIENCIAS DE LA CONST. Y ORDENAMIENTO TERRITORIAL;CENTRAL
